job_id,title,company_name,job_location,posted_time,no_applicants,apply_link,description
1281494490,Business Intelligence Analyst,The William W. Backus Hospital,"Farmington, CT, US",10 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1281494490?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2Ffab21cd968773403083397b889180888&urlHash=gcwe&refId=8755b57a-0f0c-415f-9993-6a244fd930dc&trk=guest_job_details_apply_link_offsite,"Work where every moment matters.
Every day, almost 20,000 Hartford HealthCare employees come to work with one thing in common: Pride in what we do, knowing every moment matters here. We invite you to become part of Connecticut's most comprehensive healthcare network.
The creation of the HHC System Support Office recognizes the work of a large and growing group of employees whose responsibilities are continually evolving so that we and our departments now work on behalf of the system as a whole, rather than a single member organization.
With the creation of our new umbrella organization we now have our own identity with a unique payroll, benefits, performance management system, service recognition programs and other common practices across the system.

Department Description

The ITS Analytics department is responsible for the development and support of analytic solutions aimed at improving outcomes, efficiencies, costs and the patient experience.
The Business Intelligence Advisory team implements analytic tools and solutions, focused on understanding and meeting consumers' data needs across the enterprise.
The team works directly with other ITS Analytics teams, ITS departments, HHC's acute and ambulatory facilities, and key stakeholders throughout the system on key initiatives and daily support needs.

Position Summary

Assesses customer analytic needs and in partnership with ITS Business Partners, provides guidance on best possible course of action to address. Familiar with end-users workflows and well-versed in the complete catalog of ITS Analytics tools; able to align the customers business requirement with the analytic solutions most appropriate for meaningful, actionable intelligence.
Implements training and documentation solutions that enable business stakeholders to get the most out of self-service analytics tools.

Position Responsibilities
Work with businesses, process owners, and teammates to understand and drive solutions which solve business problems. This may include gathering requirements, prototyping potential solutions, or modifying existing work to meet new or changing needs through the use of development standards, processes, and available tools.
Consults with customers across HHC to understand business issues and develop reports and analyses that lead to actionable insights.
Runs audit reports and routines to understand customers' current analytics utilization, identifying opportunities to improve usage and leverage existing solutions where available.
Partners with ITS Training division to educate customers on best use of reports & dashboard solutions.
Maintains thorough understanding of healthcare and hospital terminology and industry trends and ideas for data analysis.
Provides support to troubleshoot any issues on Business Intelligence, Analytics and reporting solutions.
Bachelor's Degree required, Master's Degree in Business, IT, Healthcare Admin or related field preferred.
Minimum 5-7 years of experience in hospital or healthcare setting developing reports using Epic Reporting tools, MS SQL, Oracle, QlikView, Tableau or related tool.
Excellent interpersonal skills including written communication.
Highly analytical with ability to translate complex information into simpler terms and concepts.
Ability to manage multiple tasks and projects simultaneously.
Highly effective time management and organizational skills.
Must be committed to high performance and superb customer service.
Strong computer skills and knowledge. Highly proficient in Excel, Access, SQL, QlikView.
Must be self-motivated and self-directed.
Team player with ability to collaborate with others.
We take great care of careers.
With locations around the state, Hartford HealthCare offers exciting opportunities for career development and growth. Here, you are part of an organization on the cutting edge - helping to bring new technologies, breakthrough treatments and community education to countless men, women and children. We know that a thriving organization starts with thriving employees-- we provide a competitive benefits program designed to ensure work/life balance. Every moment matters. And this is your moment."
1344427617,Business Intelligence Analyst,KORE1,"El Segundo, CA, US",8 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1344427617?url=http%3A%2F%2Fsearch10%2Esmartsearchonline%2Ecom%2Fkoreone%2Fjobs%2Fjobdetails%2Easp%3Fjob_number%3D11097&urlHash=_gFP&refId=10153e92-1f0d-463e-bec1-595229f0af52&trk=guest_job_details_apply_link_offsite,"Description

KORE1, a nationwide provider of staffing and recruiting solutions, has an immediate opening for ""Business Intelligence Analyst"".

The Senior Business Intelligence Analyst within our IT/Data division is responsible for the data strategy, decisions and analytics to deliver accelerated growth and monetization through enhanced customer experiences with our products. We partner across multiple groups on digital product, advertising, and content to better engage our audiences across all devices and platforms. Through the solutions we deliver, our business can more effectively personalize content, direct marketing, and target advertising to consumers on tv, mobile, desktop, and streaming devices.

Duties Include, But Are Not Limited To

Manage daily/weekly/monthly analytics reporting to enable the business to operate transparently and efficiently while capitalizing on insights to track revenue success/opportunities

Support the preparation of weekly, monthly & quarterly reports for the different businesses & divisions, including consolidating KPIs and metrics across all of the businesses

Help design executive dashboards for data-informed decision making

Support BI Director in overall media strategy initiatives, including creation of comprehensive and cohesive presentations for senior-level review

Communication

Present findings to all appropriate audiences on a consistent basis via email, verbal, in-person, and other communication methods as deemed appropriate

Education/Experience

Bachelors Degree in Economics, Computer Science, Math, Physics, Engineering, or related quantitative field

Knowledge, Skills, & Abilities

Experience with Adobe Analytics, Business Intelligence Tools

Experience in conducting analyses to drive revenue impact and / or in strategic finance, corporate development, investment banking or consulting

Requirements

Experience with Tableau or other data visualization software

About Kore1

Specializing in creative and technical recruiting, KORE1 is committed to supporting top IT and Creative professionals in their career paths. We build deep relationships with leading companies, connecting them to exceptional talent every day. With extensive industry expertise and unmatched opportunities, our goal is to provide a unique experience for our contractors and consultants as they prepare for their next role. We are passionate about matching the right people with the right companies.

Kore1 provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Kore1 complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Kore1 expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.Improper interference with the ability of Kore1's employees to perform their job duties may result in discipline up to and including discharge."
1348681911,Business Intelligence Analyst,KORE1,"El Segundo, CA, US",8 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1348681911?url=http%3A%2F%2Fsearch10%2Esmartsearchonline%2Ecom%2Fkoreone%2Fjobs%2Fjobdetails%2Easp%3Fjob_number%3D11098&urlHash=s3_i&refId=9ac5fc9e-6dab-4ae0-b1e9-a4992a45df6f&trk=guest_job_details_apply_link_offsite,"Description

KORE1, a nationwide provider of staffing and recruiting solutions, has an immediate opening for ""Business Intelligence Analyst"".

The Senior Business Intelligence Analyst within our IT/Data division is responsible for the data strategy, decisions and analytics to deliver accelerated growth and monetization through enhanced customer experiences with our products. We partner across multiple groups on digital product, advertising, and content to better engage our audiences across all devices and platforms. Through the solutions we deliver, our business can more effectively personalize content, direct marketing, and target advertising to consumers on tv, mobile, desktop, and streaming devices.

Duties Include, But Are Not Limited To

Manage daily/weekly/monthly analytics reporting to enable the business to operate transparently and efficiently while capitalizing on insights to track revenue success/opportunities

Support the preparation of weekly, monthly & quarterly reports for the different businesses & divisions, including consolidating KPIs and metrics across all of the businesses

Help design executive dashboards for data-informed decision making

Support BI Director in overall media strategy initiatives, including creation of comprehensive and cohesive presentations for senior-level review

Communication

Present findings to all appropriate audiences on a consistent basis via email, verbal, in-person, and other communication methods as deemed appropriate

Education/Experience

Bachelors Degree in Economics, Computer Science, Math, Physics, Engineering, or related quantitative field

Knowledge, Skills, & Abilities

Experience with Adobe Analytics, Business Intelligence Tools

Experience in conducting analyses to drive revenue impact and / or in strategic finance, corporate development, investment banking or consulting

Requirements

Experience with Tableau or other data visualization software

About Kore1

Specializing in creative and technical recruiting, KORE1 is committed to supporting top IT and Creative professionals in their career paths. We build deep relationships with leading companies, connecting them to exceptional talent every day. With extensive industry expertise and unmatched opportunities, our goal is to provide a unique experience for our contractors and consultants as they prepare for their next role. We are passionate about matching the right people with the right companies.

Kore1 provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Kore1 complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Kore1 expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.Improper interference with the ability of Kore1's employees to perform their job duties may result in discipline up to and including discharge."
1447741988,Business Intelligence Analyst,"Liberty Personnel Services, Inc.","Plymouth Meeting, PA, US",6 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1447741988?url=https%3A%2F%2Fwww%2Elibertyjobs%2Ecom%2Ffindjobs-details%2Ephp%3Fj_id%3D53780%26lm%3D2019-08-27&urlHash=ijQo&refId=bc3b8039-0ac0-47fe-bb33-5d3b41366ea8&trk=guest_job_details_apply_link_offsite,"Job Details

Business Intelligence Analyst

They Are Seeking Experience With As Much Of The Following As Possible

My client has a full time opening for a Business Intelligence Analyst. You must be a Citizen or GC holder to qualify.
Power BI
SQL
SSAS (preferred)
SSIS
Python
R
ETL
Qlik
Tableau
Excel

Please reach out for more info. I have numerous full time openings in all areas of IT! Please add me on Linked in.

Tim Campbell
Liberty Personnel Services Inc.
610-941-6300 ext 121 direct: 484-567-2089
tc@libertyjobs.com www.libertyjobs.com
Follow me on Twitter: @Campbell_ITjobs
www.linkedin.com/pub/tim-campbell/0/a9b/616"
1459961458,Business Intelligence Analyst,Atlantic Group,"Philadelphia, PA, US",5 months ago,58 applicants,https://www.linkedin.com/jobs/view/externalApply/1459961458?url=https%3A%2F%2Fatlanticrecruiters%2Ecom%2Fjob%2Fbusiness-intelligence-analyst%2F&urlHash=2klN&refId=aae4c032-9c21-4e7a-aab0-1c439f8b521d&trk=guest_job_details_apply_link_offsite,"Responsibilities
Gathering and compiling data from various functional areas across the enterprise
Developing and maintaining metrics repository.
Report and dashboard creation and updating
Analyzing the information and building insights into root cause and impact.
Providing analysis on the information with a business mindset of “why”, “how” and “what”
Performing quality reviews on information (data/ report/ dashboard/ scorecard) built.
The Business Intelligence Analyst will be responsible to improve the reporting process through automation and building of visual analytics.
Provide support for other functional areas related to ad-hoc requests, specific projects and initiatives.


Requirements
Automation of consumption of non-standard source files like Excel, Access Database using Visual Basic and or Python
Development of Visualization Dashboards using Tableau
Ability to write advanced SQL
Understanding and awareness and prior experience of testing their developed Dashboards/ Automation
Three to five years of experience, preferably in business, analytics or operations
Three years of experience in Macro building, automation using Visual Basic / Access Database/ Excel.
Three years of experience with Business Intelligence tool (Tableau) or any open source reporting/ analytics tool).
One year of experience with developing worksheets, dashboards and stories in Tableau
Three years of experience in Macro building, automation using Visual Basic / Access Database/ Excel.
Ability to perform data and business analysis and translate analysis into operations and business impact.


Note: Qualified candidates will be contacted within 2 business days of application. If an applicant does not meet the above criteria, we will keep your resume on file for future opportunities and may contact you for further discussion."
1472991451,Business Intelligence Analyst,Intellipro Group Inc,"Mountain View, CA, US",6 months ago,71 applicants,https://www.linkedin.com/job-apply/1472991451?refId=8513845a-2dd1-4bee-8b68-8b6885504bee&trk=guest_job_details_apply_link_onsite,"Business Intelligence Analyst
Play a pivotal role in designing, executing, and measuring the effectiveness of extended workforce programs, which will include developing reports and dashboards.
Develop and analyze surveys and metrics.
Conduct data analyses, such as regressions, factor analyses, t-tests, ANOVAs.
Communicate findings and recommendations on critical initiatives and influence leaders to take action on those findings.


Requirements
Excellent problem-solving capabilities and superior analytical skills.
Deep interest and aptitude in data, metrics, analysis, and trends.
Proven ability to multi-task and manage multiple projects.
Excellent communication skills.
Experience with complex SQL, Microsoft Excel and familiarity with statistical packages.

Skill/Experience/Education
Mandatory
Bachelor s degree in Information Systems, Computer Science or related field is preferred.
At least 3 years of experience as a BI Analyst - any BI tool experience is fine.
Master level knowledge of SQL
Strong hands-on experience in building reports and dashboards using tools such as Tableau etc

Desired
At 2 years of experience working as an analyst or in a highly analytical role such as; sales support, market research or financial analysis.
Experience with building dashboards and reports using our client Data Studio and PLX

tsrRdDJ9NA"
1473438494,Business Intelligence Analyst,Su Clinica,"Harlingen, TX, US",6 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1473438494?url=http%3A%2F%2F9nl%2Ees%2F1KHnPB%3Fjaxtrd%3DYmlkPTAuMTAmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fU2lsdmVydGFwJmpJZD0yYTRiZTRkMzk3OGIyNDczOGU4MzY0MGJjMWM3ZTQ5NSZlbWQ9MC4wMCZwaElkPWZpYzM%26tracking-details%3DYmlkPTAuMTAmYmlkdHlwZT1jcGMmc3JjPUpBWCZqSWQ9OTAzNWMzZmExYzA3MjMzN2NiNzVkNTI4MzhhMDQ5MWQmZW1kPTAuMDAmcGhJZD1hYmUz%26lid%3D2ZC4%26cn%3Dprofessional%26jl%3DB262823935&urlHash=nyNg&refId=e269c1e3-87eb-4d46-85dc-a0083e123ca6&trk=guest_job_details_apply_link_offsite,"A business intelligence analyst is under the supervision of the CFO and will work closely with CIO and COO to perform data analysis, data design strategies, and standards for operations to inform management of the status of the business goals and business forecasting. Assists managers in making informed business decisions in order to sustain or improve business operations through pattern and trend analysis.. Performs detailed complex data analysis and extensive data research work providing results, monitoring and implementing data analysis to render a true picture of the Clinic’s performance and industry standing. The analyst will develop processes and design reports to accurately reflect the current business state of the Clinic. Supports proactive strategic planning.
Works with IT, Finance, and Operations to determine data base requirements by analyzing business operations, business objectives, and preparing data for business forecasting. Analyzes the Clinic's data and collection systems to identify performance gaps and problems with data quality. Provides engagement in problems solving, root cause analysis, and expedites implementation of high priority interventions.
Develops processes, assists with complicated problems; provides innovative solutions for improved business measures. Shares and communicates ideas and knowledge to members of the Senior Management team. Works closely with IT to initiate data base changes to develop and implement data models for new projects, grants to ensure new designs conform to the Clinic’s expectations, project/grant guidelines, and provide a current picture of Clinic’s operations.
Collects past and present data to establish trends in the Clinic’s operation. Data is analyzed and used with statistical tools to develop a projection on the outcome of implementing certain business strategies based on historical data helping identify the Clinic's strengths, weaknesses, threats and opportunities surrounding the Clinic. Continuously reviews, analyzes, and communicates operational measures to chart progress, patterns, and trends consistent with Clinic objectives.
Prepares concise, comprehensive technical reports to present and interpret data, identify alternatives, and make and justify recommendations on data revisions. Assists in developing data quality measures, analyzing data quality results and ensuring data quality improvement.
Responsible for their own safety as well as the safety of others.
Graduation from an accredited four year college or university with major coursework in data science, business analytics, computer science, computer information systems, accounting, statistics, and economics with 5 years’ experience in data analysis, research, compilation, and reporting data preference in the healthcare industry. Masters preferred with a minimum of three years’ experience as above
ID: 2019-1338
External Company Name: Su Clinica
External Company URL: uclinica.org/
Street: 1706 Treasure Hills Blvd"
1510558715,Business Intelligence Analyst,Tecwallet,"Washington, D.C., DC, US",6 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1510558715?url=https%3A%2F%2Fjooble%2Eorg%2Fexternal%2F6940709554794584606%3Futm_campaign%3DUS%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DScraped&urlHash=_Zqo&refId=8755b57a-0f0c-415f-9993-6a244fd930dc&trk=guest_job_details_apply_link_offsite,"Job Description

POSITION DETAILS:

Job Role: Business Intelligence Analyst
Location: New York City, NY
Duration: 6+ Months

Description

Sr. Business Intelligence Analyst (8 to 10 years’ experience) with the following skill set:

Required Skills
Worked with data stored in Hadoop
Advanced SQL
Visualization tools (ie Tableau)
R (language and environment)
Effective Microsoft Office documentation and presentation
Pluses
Lavastorm experience
Python/Java/similar
Thanks,
NIBIN
Click here to Apply
click apply Ext: 163
www.addonusa.com"
1510669912,Business Intelligence Analyst,Tecwallet,"Burlington, NC, US",6 months ago,Be among the first 25 applicants,https://www.linkedin.com/jobs/view/externalApply/1510669912?url=https%3A%2F%2Fjooble%2Eorg%2Fexternal%2F840508185311950461%3Futm_campaign%3DUS%26utm_medium%3Dsocial%26utm_source%3Dlinkedin%26JobSource%3DScraped&urlHash=PdfC&refId=e3d9da68-ebd2-4b46-a807-b39807140472&trk=guest_job_details_apply_link_offsite,"Job Description

POSITION DETAILS:

Job Role: Business Intelligence Analyst
Location: New York City, NY
Duration: 6+ Months

Description

Sr. Business Intelligence Analyst (8 to 10 years’ experience) with the following skill set:

Required Skills
Worked with data stored in Hadoop
Advanced SQL
Visualization tools (ie Tableau)
R (language and environment)
Effective Microsoft Office documentation and presentation
Pluses
Lavastorm experience
Python/Java/similar
Thanks,
NIBIN
Click here to Apply
click apply Ext: 163
www.addonusa.com"
1519951822,Business Intelligence Analyst,Fareportal,"New York City, NY, US",6 months ago,Over 200 applicants,https://www.linkedin.com/job-apply/1519951822?refId=f4fccd52-da28-438e-bf64-e79b7c397cb0&trk=guest_job_details_apply_link_onsite,"(We are not sponsoring for this role now or in the future)

People are at the core of Fareportal. We are one of the fastest growing travel technology companies in the world; our portfolio of travel brands, including flagship product CheapOair, receives over 100 million visitors annually.

We are seeking an Business Intelligence Analyst to extract and present meaningful data in order to understand our customers and drive opportunities to enhance customer experience and drive conversion. The ideal candidate will be responsible for performing data analysis and reporting to support strategic objectives. The right person will have a proven history of proactively addressing unasked questions through data and presenting solutions to top management in order to improve systems and processes.

Responsibilities
Analyze customer data from a variety of sources using database querying tools
Visualize data and generate insights to help improve the business
Support a wide variety of departments and product teams
Collaborate with the Product Owner to identify data sources of truth to support business decisions
Interface with entire IT Chapter (data science, BI, IT operations, IT engineering, IT Security)
Efficiently manage the backlog and delivery of analytical projects
Establish processes and SLA for Development & IT Chapters
Create and monitor real-time performance dashboards for key business metrics
Implement alerting systems to quickly identify issues, notify stakeholders, and coordinate to resolve the issues.
Requirement
BA degree, Computer Science, Information, engineering
Minimum 2-3 years' work or internship experience with business or data analysis
Data modeling, Statistical Analysis, Sensitivity analysis (Mathematical modeling)
Critical thinking and problem solving skills
Understanding of database structure, design, query languages (e.g. SQL), Advance Excel Skills
Relational databases and querying such as Microsoft SQL Server, Oracle Database, or MySQL
Experience with visualization and dashboard tools such as Power BI or Tableau
A Plus
Strong PowerPoint presentation skills
Experience with BI Reporting tools such as Tableau, PowerBi, Business Objects, and/or Microstrategy
Understanding of Google Analytics
Experience with Python or R
ECN5LtS8Sc"
